-7328708.8518591765	  inf
-5620093.4727399899	2.33140e-01
-5521153.6395059125	1.76047e-02
-5444417.8518810887	1.38985e-02
-5392916.5457370784	9.45947e-03
-5359967.0233067982	6.10978e-03
-5338220.7182429424	4.05717e-03
-5323590.1863168599	2.74071e-03
-5313116.7803951101	1.96736e-03
-5305342.1151040783	1.46330e-03
-5299263.4931011125	1.14575e-03
-5294276.3902765336	9.41094e-04
-5290148.6612174250	7.79659e-04
-5286411.3710215380	7.06462e-04
-5283172.2015427398	6.12735e-04
-5280287.4621367659	5.46024e-04
-5277714.4060548702	4.87295e-04
-5275395.3954596901	4.39397e-04
-5273219.4540231377	4.12470e-04
-5271247.8867005594	3.73883e-04
-5269339.6171298819	3.62015e-04
-5267524.9279395668	3.44386e-04
-5265756.0298193339	3.35812e-04
-5264034.1447550282	3.26997e-04
-5262482.7406848473	2.94718e-04
-5260966.6690677227	2.88091e-04
-5259494.2713515190	2.79872e-04
-5258146.9296914469	2.56173e-04
-5256878.3038787302	2.41269e-04
-5255621.1628683507	2.39142e-04
-5254401.0392013863	2.32156e-04
-5253271.4876122735	2.14972e-04
-5252178.6770534748	2.08025e-04
-5251174.3495429903	1.91221e-04
-5250119.7840049649	2.00825e-04
-5249036.4140806012	2.06351e-04
-5247983.5491212849	2.00583e-04
-5246967.7351445248	1.93563e-04
-5245883.1131056575	2.06714e-04
-5244925.2057032092	1.82602e-04
-5244017.4597670697	1.73071e-04
-5243041.2393034156	1.86159e-04
-5242180.4222520459	1.64183e-04
-5241390.1616585199	1.50750e-04
-5240643.0901269391	1.42533e-04
-5239986.8365545413	1.25224e-04
-5239264.2602321114	1.37897e-04
-5238609.0418653758	1.25059e-04
-5238021.9038254777	1.12079e-04
-5237376.2562406212	1.23262e-04
-5236699.0986510366	1.29293e-04
-5236028.0177565282	1.28150e-04
-5235409.3293284010	1.18160e-04
-5234844.4349047858	1.07899e-04
-5234222.8111342732	1.18747e-04
-5233706.4876183504	9.86438e-05
